unit,airpol,airemsect,geo\time	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 
MIO_T,GHG,CRF_1,RO	76.99622 	86.54874 	87.74285 	82.77411 	88.66543 	100.68924 	101.78831 	104.08404 	102.02951 	104.58093 	108.44636 	104.58662 	105.4638 	100.58582 	95.43962 	110.10962 	127.74345 	137.31275 	133.45644 	129.93922 	132.50831 	142.05636 	153.39633 	185.00471 	220.00816 	: 	: 	: 	: 
MIO_T,GHG,CRF_1,SE	40.71382 	42.33869 	44.74529 	48.68417 	44.52124 	46.37151 	48.11817 	49.27503 	49.38101 	51.7282 	52.89575 	51.94559 	51.14514 	50.26108 	51.73281 	54.72182 	54.20848 	59.28587 	55.00575 	55.83337 	53.73015 	53.90413 	53.80375 	53.21522 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1,SI	14.87821 	15.62218 	16.17533 	16.16599 	16.09222 	17.69767 	16.68499 	16.57573 	16.39675 	16.1742 	15.83838 	16.11055 	16.04395 	15.18383 	15.09136 	15.7778 	16.0754 	15.74089 	15.02445 	14.3367 	14.13492 	13.63252 	13.62309 	14.51576 	15.23023 	15.27469 	15.62542 	16.21421 	: 
MIO_T,GHG,CRF_1,SK	29.84642 	29.60256 	32.11592 	32.54816 	31.97594 	34.86823 	33.95397 	35.49576 	36.46849 	36.00254 	36.40918 	35.41615 	38.56956 	36.37853 	37.39349 	38.02061 	39.33642 	39.52352 	39.36033 	39.13202 	41.7969 	45.68376 	49.91491 	56.46669 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1,UK	465.95167 	477.44592 	458.26343 	500.21458 	483.25287 	529.05644 	541.10975 	552.16516 	553.4418 	557.05292 	557.63585 	549.34789 	566.2413 	556.45322 	549.44798 	559.28345 	557.57411 	582.75948 	564.03222 	572.32075 	587.10498 	602.89758 	618.85186 	608.04834 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1-6X1D,AT	74.62103 	73.77693 	76.14312 	78.62127 	75.34383 	82.00928 	80.99121 	83.90723 	81.35372 	81.84922 	86.56768 	71.16171 	64.49747 	63.23629 	59.5793 	63.36899 	62.1964 	71.0845 	65.33775 	63.14541 	62.63324 	62.9009 	64.71121 	65.64164 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1-6X1D,BE	115.66708 	115.37874 	119.26973 	129.51961 	122.09322 	135.07857 	132.53741 	136.89026 	141.95711 	146.09685 	144.49641 	144.1167 	146.04178 	147.57913 	146.12922 	152.42289 	147.08922 	156.32221 	152.14042 	150.0639 	144.50432 	145.30057 	146.67698 	144.78261 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1-6X1D,BG	46.56872 	52.03614 	57.11484 	51.86602 	49.5665 	58.6608 	59.75202 	56.11628 	55.29843 	54.91823 	56.39339 	51.45022 	54.06564 	49.91189 	50.97742 	57.71996 	62.12732 	65.7013 	63.31696 	62.67742 	66.63097 	68.2045 	73.10974 	95.23715 	104.80525 	107.2311 	: 	: 	: 
MIO_T,GHG,CRF_1-6X1D,CY	7.67314 	8.49142 	9.05478 	9.28426 	9.55434 	9.74335 	9.60972 	9.17975 	8.94858 	8.701 	8.42818 	8.01037 	7.79291 	7.90963 	7.56294 	7.32312 	6.98028 	6.88105 	6.50713 	6.58283 	6.32314 	5.90161 	5.45232 	4.94678 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1-6X1D,CZ	120.40215 	123.56041 	127.62563 	130.33063 	127.65088 	137.45638 	145.7248 	142.12452 	137.98747 	140.25824 	139.8365 	134.85049 	138.16681 	138.96889 	130.07557 	139.26693 	146.08583 	148.36522 	146.70029 	146.42365 	151.27445 	158.56904 	165.63937 	187.03619 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1-6X1D,DE	934.97899 	912.34709 	905.61609 	924.99507 	888.91019 	955.68898 	960.30106 	987.63199 	980.49362 	1008.16272 	1028.1405 	1033.2402 	1018.88837 	1005.04189 	1007.85821 	1041.86194 	1067.63646 	1103.85478 	1085.98443 	1089.77388 	1111.71277 	1120.38643 	1171.18319 	1215.33658 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1-6X1D,DK	56.97419 	54.86974 	58.19275 	65.4864 	72.86573 	64.80617 	72.71141 	80.46286 	71.58595 	75.9446 	82.31374 	78.88491 	77.66572 	74.54569 	80.22835 	80.99431 	85.97597 	93.93285 	82.2535 	86.27926 	80.5048 	82.15988 	85.60881 	76.04005 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1-6X1D,EE	21.41112 	17.94474 	17.32236 	14.97068 	10.01493 	12.02491 	13.52072 	11.48866 	13.49877 	16.30617 	18.97315 	20.21022 	21.56526 	18.0102 	13.41469 	11.29298 	11.81187 	11.6665 	10.74772 	13.0724 	12.10135 	19.41683 	29.18457 	32.39266 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1-6X1D,EL	101.79195 	109.80456 	113.22763 	116.36365 	122.35785 	128.94457 	134.21206 	129.86977 	133.67917 	129.96016 	129.57473 	125.79566 	126.38179 	125.9826 	122.08229 	122.80133 	117.3135 	111.57533 	108.16638 	106.02059 	102.76597 	103.74524 	102.50859 	102.62201 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1-6X1D,ES	287.9541 	314.96129 	321.41511 	323.05385 	335.57949 	373.29001 	406.65936 	400.72393 	408.42576 	394.46075 	381.05273 	372.2602 	354.79012 	358.32395 	343.68561 	318.33529 	310.18343 	298.42657 	306.33258 	291.89586 	277.01136 	286.75713 	276.73595 	267.20519 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1-6X1D,EU15	3373.392 	3434.95251 	3472.48818 	3626.89092 	3532.67161 	3817.55422 	3936.00892 	3985.2302 	4029.23603 	4067.76457 	4106.56889 	4031.08456 	4023.60309 	4010.86775 	3986.20613 	4061.93478 	4042.81917 	4112.51659 	4052.2755 	4010.93095 	4023.57845 	4075.70937 	4147.16748 	4154.65571 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1-6X1D,EU28	4158.83079 	4250.37461 	4314.55044 	4471.9475 	4347.09073 	4704.19031 	4854.23666 	4860.99697 	4903.30413 	4944.70996 	4989.03142 	4888.25256 	4896.84262 	4866.06479 	4829.93289 	4953.74779 	5017.78815 	5115.75646 	5040.178 	5000.42327 	5038.10208 	5139.02781 	5285.66908 	5420.56946 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1-6X1D,FI	42.60918 	34.4924 	41.84837 	49.02845 	28.01585 	44.21424 	50.83804 	44.68494 	39.68354 	52.60927 	57.82249 	50.89253 	48.94581 	45.46568 	49.22501 	52.78369 	54.74036 	52.90921 	56.14644 	58.69489 	46.17482 	44.67559 	39.9962 	55.26709 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1-6X1D,FR	443.51788 	440.63459 	445.6548 	476.97749 	462.25543 	477.12698 	482.8399 	491.74117 	505.74327 	504.80162 	507.42592 	505.21904 	513.93259 	520.81606 	516.05974 	528.75883 	516.1847 	523.11351 	511.50144 	505.19213 	503.65078 	531.64904 	538.85554 	511.75187 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1-6X1D,HR	19.36759 	20.46871 	22.53152 	22.06571 	22.55906 	24.72221 	26.09244 	24.20023 	23.73264 	23.72754 	23.48409 	21.78853 	20.93436 	19.87699 	19.68762 	18.96159 	18.7905 	16.89647 	16.15959 	16.24871 	17.41009 	17.79126 	20.04694 	29.57931 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1-6X1D,HU	53.99026 	55.68136 	60.22018 	61.46895 	61.21977 	66.18337 	69.38974 	71.48299 	70.36089 	72.99412 	73.17856 	72.47232 	73.30287 	72.78731 	75.18333 	72.46634 	74.02746 	76.01703 	69.82768 	70.89259 	72.60418 	74.27436 	84.77421 	90.9132 	98.84106 	100.79284 	105.51257 	105.41159 	109.95331 
MIO_T,GHG,CRF_1-6X1D,IE	62.62798 	65.14367 	65.68459 	67.18628 	65.14943 	73.30993 	74.40624 	75.77031 	74.76487 	73.86132 	78.19484 	77.12129 	80.38069 	74.84654 	71.42479 	70.42385 	67.72641 	69.74739 	66.5413 	63.82833 	63.81492 	62.48485 	62.34792 	61.19673 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1-6X1D,IS	16.43155 	16.47806 	16.43508 	16.6547 	16.8914 	17.25219 	16.74424 	16.38122 	15.6784 	15.71718 	15.65217 	15.68295 	15.64129 	15.68056 	15.65196 	15.39178 	15.2466 	15.12538 	15.02548 	15.01224 	15.06667 	15.01768 	15.17332 	15.34389 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1-6X1D,IT	403.18593 	448.11469 	465.82852 	472.28331 	467.77275 	520.23889 	551.81807 	537.18335 	547.58878 	551.26577 	553.07107 	530.41074 	534.42055 	535.44046 	528.81806 	531.27842 	517.08334 	502.08668 	509.10668 	487.31908 	508.90453 	500.40958 	502.18323 	515.61876 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1-6X1D,LT	9.98212 	12.32209 	10.26441 	9.69805 	8.99384 	15.14784 	20.66832 	17.65437 	18.01223 	15.07414 	11.49472 	16.71645 	8.47389 	10.42588 	13.91052 	16.58261 	23.88498 	26.0253 	19.4412 	18.69073 	19.21505 	26.06615 	45.77139 	43.93523 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1-6X1D,LU	10.69571 	11.3014 	11.6629 	11.83094 	11.25189 	11.81719 	12.14211 	12.72684 	12.78214 	12.54023 	11.02998 	10.57258 	9.76669 	9.3134 	8.6952 	8.4669 	9.09649 	9.81167 	9.91311 	12.34091 	13.00625 	13.00786 	13.59489 	13.21855 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1-6X1D,LV	10.76595 	10.54981 	11.6425 	12.77846 	9.62527 	6.75939 	7.5674 	6.45324 	6.94158 	6.39979 	4.93333 	4.28698 	2.82603 	3.01655 	6.46199 	3.94057 	3.57633 	2.47916 	3.11138 	3.47914 	6.17163 	8.97577 	15.06389 	17.28487 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1-6X1D,MT	2.78547 	3.16843 	3.07472 	3.02253 	2.99617 	3.04898 	3.07134 	2.97461 	2.95232 	2.86261 	2.89116 	2.71511 	2.69486 	2.57068 	2.54248 	2.45594 	2.45743 	2.45511 	2.41139 	2.4371 	2.35374 	2.30085 	2.18275 	1.99776 	: 	: 	: 	: 	: 
